text,label,n_saltos
"Acción Requerida: Verificación de Cuenta Pendiente - Tienes 48 horas para completar Estimada Luz Lerma Esparza, Nuestro sistema ha detectado actividad inusual en tu cuenta corporativa. Para mantener la seguridad de tu información y acceso a los sistemas internos, requerimos que completes el proceso de verificación en las próximas 48 horas. Detalles de la solicitud: Referencia: VRF-2024-01583 Fecha límite: 72 horas desde este aviso Impacto: Acceso restringido si no se completa Acción requerida: Por favor, accede al portal de verificación a través del siguiente enlace para completar el proceso: www[.]mail.allanbyer.com El proceso toma aproximadamente 5-7 minutos y requiere: Confirmación de datos de contacto Verificación de dispositivo autorizado Configuración de autenticación adicional Si experimentas dificultades técnicas o crees que esto es un error, contacta inmediatamente al departamento de soporte técnico al interno 4521. Nota importante: Esta es una comunicación legítima de seguridad corporativa. Nunca compartas tus credenciales completas por correo o teléfono. Atentamente, Ana María García Durán Departamento de Seguridad Informática Política de Seguridad Corporativa 7.2.1",1,0
"Urgente: Documento CR-2309-584 Pendiente de Tu Firma - Vence en 3 días Estimado Rodrigo Lemus Tejada, Se requiere tu atención inmediata sobre el documento ""Acuerdo de Confidencialidad Ampliado"" que se encuentra pendiente de revisión y firma. Este documento es crítico para el proceso de fusión del departamento y tiene fecha límite el viernes próximo. Detalles del documento: Código: CR-2309-584 Tipo: Acuerdo de Confidencialidad Monto referencial: USD $450,000 Partes involucradas: Departamento Legal y Desarrollo Vencimiento: 72 horas hábiles Acciones pendientes: Revisión de cláusulas 7-12 (Propiedad Intelectual) Confirmación de datos en anexo B Firma digital electrónica Para acceder al documento completo y realizar tu revisión: hxxp://www[.]bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/ Impacto del retraso: Cualquier demora podría afectar el cronograma de fusión con penalidades estimadas en USD $15,000 diarios. Te solicitamos priorizar esta revisión. Para consultas específicas sobre cláusulas, contacta directamente al equipo legal en extensión 3305. Saludos cordiales, Camila Blanco Esquivel Coordinadora Legal Corporativa Gestión Documental - Área Fusiones",1,0
"Discrepancia Detectada en Factura INV-73428 - Monto: $12,450.00 Estimado Ignacio Correa Trujillo, Hemos identificado una discrepancia en la factura reciente emitida a tu nombre (INV-73428). Se requiere tu verificación para proceder con la corrección correspondiente. Detalles de la discrepancia: Factura: INV-73428 Fecha emisión: 15/11/2024 Monto original: $14,220.00 Monto correcto: $12,450.00 Diferencia: $1,770.00 Concepto: Servicios de consultoría Q3 Posible causa: Aplicación incorrecta de tasa impositiva (18% vs 16%) y descuento por pronto pago no registrado. Para verificar y autorizar corrección: Accede al portal de facturación: hxxp://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/ Opciones disponibles: Autorizar corrección automática (emitiremos factura rectificativa) Solicitar revisión manual por contabilidad Programar llamada de verificación (agenda: ext. 2289) Plazo para respuesta: 5 días hábiles. Pasado este plazo, procederemos con la corrección automática. Agradecemos tu pronta atención para resolver este asunto eficientemente. Cordialmente, Jonathan Esparza Reyes Departamento de Facturación y Cobranza Control de Discrepancias Financieras",1,0
"Invitación: Reunión Ejecutiva Estrategia Q1-2025 - Confirmación Requerida Estimada Martha Durán Guadarrama, Te invitamos cordialmente a la Reunión Ejecutiva de Planificación Estratégica para el primer trimestre 2025, donde definiremos los objetivos clave y asignación presupuestal. Detalles del evento: Fecha: Miércoles, 27 de noviembre 2024 Horario: 9:00 AM - 2:00 PM (incluye lunch ejecutivo) Modalidad: Híbrida (presencial + virtual) Lugar presencial: Salón Ejecutivo Piso 14 Link virtual: www[.]halkbankparaf-para.com Código acceso: EXEC2024-587 Agenda confirmada: 9:00-9:30: Análisis resultados Q4-2024 9:30-11:00: Presentación propuestas departamentales 11:00-12:30: Discusión presupuesto 2025 (USD $4.2M total) 12:30-13:30: Lunch ejecutivo 13:30-14:00: Acuerdos y asignación de tareas Preparación requerida: Por favor, prepara: Reporte ejecutivo de tu área (máx. 10 diapositivas) Propuesta presupuestaria detallada KPIs sugeridos para 2025 Confirmación de asistencia: Debes confirmar tu participación antes del viernes 22/11 a través del portal de confirmaciones: Portal de Confirmaciones Tu participación es fundamental para la planificación estratégica del próximo año. Saludos, María Alejandra Castaño Esquivel Coordinadora Ejecutiva Oficina de Planificación Estratégica",1,0
"Implementación Inmediata: Nueva Política de Seguridad Informática 4.0 Estimada Martha Orozco De la Cruz, A partir del lunes 25 de noviembre 2024, entra en vigor la nueva Política de Seguridad Informática versión 4.0, aprobada por el Comité Ejecutivo en sesión extraordinaria. Cambios principales: Autenticación Multifactor Obligatoria: Para todos los sistemas corporativos Cifrado de Datos Mejorado: Estándar AES-256 para información sensible Política de Contraseñas Actualizada: 12 caracteres mínimo con rotación trimestral Monitoreo Continuo: Implementación de SIEM corporativo Cronograma de implementación: Fase 1 (25/11): Autenticación MFA para correo y VPN Fase 2 (02/12): Implementación completa en sistemas críticos Fase 3 (09/12): Capacitación obligatoria (4 horas certificadas) Fase 4 (16/12): Auditoría de cumplimiento Documentación completa y guías: Accede a toda la documentación en: hxxp://www[.]designeremdoces.com/components/com_contact/ggdrives/ Acciones requeridas de tu parte: Revisar política completa antes del 24/11 Asistir a capacitación según calendario asignado Configurar MFA en dispositivos autorizados Impacto por no cumplimiento: Restricción de acceso progresivo según política 7.3.2. Este cambio es fundamental para mantener nuestros estándares de seguridad corporativa y cumplimiento regulatorio. Atentamente, Maximiliano Tovar Solís CISO - Chief Information Security Officer Departamento de Seguridad de la Información",1,0
"ALERTA: Entrega #DL-78429 Fallida - Re-programación Requerida Estimada María José Ramos Ferrer, Nuestro sistema de logística reporta que el envío #DL-78429 programado para hoy no pudo ser entregado en la dirección registrada. Se requiere tu intervención para re-programar la entrega. Detalles del envío: Número de seguimiento: DL-78429 Contenido: Equipo de cómputo portátil Dell XPS 15 Valor declarado: USD $2,450.00 Fecha intento fallido: 18/11/2024 14:30 Motivo: Dirección incompleta/inexacta Transportista: DHL Express Priority Acciones inmediatas requeridas: Verificar dirección de entrega exacta Especificar horario preferencial Designar persona de contacto Confirmar disponibilidad para nuevo intento Para actualizar datos y reprogramar: Accede al portal de seguimiento: hxxp://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/ Opciones disponibles: Reintento automático (mañana mismo horario) Programar nueva fecha/hora específica Cambiar dirección de entrega Recolectar en centro de distribución Importante: El equipo permanece en custodia del transportista por máximo 72 horas. Pasado este plazo, iniciarán cargos por almacenamiento de USD $45/día. Por favor, actualiza la información antes de las 4:00 PM hoy para evitar costos adicionales. Saludos, María Rosa Ledezma Urbina Coordinadora de Logística Corporativa Gestión de Envíos y Distribución",1,0
"OPORTUNIDAD CERRADA: Fondo de Inversión Corporativo - ROI 18.5% Anual Estimado Víctor Calderón Lerma, Por tu nivel ejecutivo y antigüedad en la empresa, tienes acceso exclusivo al Fondo de Inversión Corporativo 2024-2025, con rendimiento histórico comprobado del 18.5% anual. Detalles de la oportunidad: Fondo: Capital Growth Fund Serie E Monto mínimo: USD $25,000 Plazo: 24 meses (con liquidez trimestral) Rendimiento esperado: 18.5-22% anual Fecha cierre suscripciones: 30/11/2024 Participantes máximos: 25 ejecutivos Características exclusivas: Sin comisiones de administración para empleados Garantía de capital al 90% (asegurado) Opción de reinversión automática Reportes trimestrales personalizados Acceso portal de seguimiento en tiempo real Documentación y proceso de suscripción: Portal exclusivo para revisión completa: www[.]roverslands.net Próximos pasos recomendados: Revisar prospecto completo (15 minutos) Agendar reunión informativa (opcional, 30 min) Completar formulario de interés preliminar Proceso de suscripción formal Nota de confidencialidad: Esta información es exclusiva para destinatarios autorizados según política 8.4.3 de inversiones internas. Esperamos contar con tu participación en esta oportunidad limitada. Cordialmente, Fátima Manjarrez Hernández Directora de Inversiones Corporativas Tesorería y Gestión de Activos",1,0
"ALERTA CRÍTICA: Dispositivo No Reconocido Conectado a Red Corporativa Estimada Norma Escobar Bernal, Nuestro sistema de detección de intrusos ha identificado un dispositivo no autorizado conectado a la red corporativa desde tu cuenta de usuario. Se requiere acción inmediata. Detalles de la alerta: Dispositivo: Samsung Galaxy S22 (no registrado) Dirección MAC: 00:1A:2B:3C:4D:5E Hora de conexión: 18/11/2024 10:47 AM Ubicación aproximada: Torre Norte, Piso 8 Red accedida: WIFI_CORP_SECURE Tráfico detectado: 2.4 GB transferidos Acciones automáticas ejecutadas: Cuenta de usuario suspendida temporalmente Dispositivo bloqueado de red corporativa Sesiones activas terminadas Alerta a equipo de respuesta a incidentes Para restaurar acceso y verificar seguridad: Accede al portal de verificación de dispositivos: www[.]corporacionrossenditotours.com Proceso de restauración: Confirmar/negar propiedad del dispositivo Verificar ubicación en horario reportado Completar formulario de incidente de seguridad Configurar autenticación reforzada Plazo crítico: Debes completar la verificación en las próximas 2 horas para evitar escalamiento a auditoría de seguridad. Si no reconoces este dispositivo, reporta inmediatamente como posible brecha de seguridad al interno 911 (emergencias seguridad). Atentamente, Miguel Ángel Lara Urbina Líder de Respuesta a Incidentes Centro de Operaciones de Seguridad (SOC)",1,0
"Verificación Urgente: Cambios en Desglose de Nómina Diciembre 2024 Estimada María Teresa Chávez Escamilla, Hemos detectado inconsistencias que requieren tu verificación en el desglose de nómina programado para el período Diciembre 2024. Es fundamental tu revisión antes del cierre contable. Detalles a verificar: Período: 01-31 Diciembre 2024 Nómina referencia: PAY-12-2024-03847 Cambios detectados: Ajuste bonificación por productividad: +$850.00 Deducción seguro médico familiar: -$320.50 Aporte voluntario fondo pensiones: +$500.00 Retención fiscal adicional: -$1,240.00 Impacto neto: Diferencia de -$210.50 vs nómina anterior Para revisar y confirmar desglose completo: Portal de nómina seguro: hxxp://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/ Opciones de respuesta: Confirmar todos los cambios (procesamiento normal) Rechazar cambios específicos (especificar cuáles) Solicitar revisión completa por RRHH Programar cita con especialista nómina Plazo para confirmación: 48 horas (hasta 20/11/2024 5:00 PM) Importante: Sin confirmación expresa, procesaremos con los valores calculados por sistema. Para consultas específicas sobre deducciones o cambios, contacta al departamento de nómina en interno 7701. Saludos cordiales, Juan Carlos Barrera López Coordinador de Nómina y Compensaciones Departamento de Recursos Humanos",1,0
"Recordatorio Final: Encuesta Clima Laboral 2024 - Cierra Hoy 6:00 PM Estimado Iker Palacios Cortés, Este es el último recordatorio para completar la Encuesta de Clima Laboral 2024. Tu participación es fundamental y cierra hoy a las 6:00 PM. Detalles de participación: Encuesta: Clima Laboral Anual 2024 Código acceso: EMP-4872-2024 Duración estimada: 8-10 minutos Anonimato garantizado: Sistema externo certificado Tasa participación actual: 73% (Meta: 85%) Cierre definitivo: 18/11/2024 18:00 hrs Beneficios de participar: Influencia directa: Tus respuestas guiarán cambios 2025 Programas específicos: Basados en feedback real Reconocimiento: Todos participantes entran en sorteo Reporte personalizado: Análisis de tu área vs corporativo Premio por participación: Sorteo entre todos los participantes de: Primer premio: Bono USD $500 5 segundos premios: Días libres adicionales 20 terceros premios: Tarjetas de regalo $100 Accede a la encuesta aquí: Portal seguro externo: detkreimeier-fotografie.de Importancia estratégica: Esta encuesta alimenta directamente: Plan de Mejora Continua 2025 Distribución presupuesto bienestar ($2.8M) Programas de desarrollo y capacitación Ajustes políticas internas Tu voz importa. Por favor, tómate 10 minutos para contribuir. Atentamente, Rocío Hernández Gutiérrez Coordinadora de Desarrollo Organizacional Gestión del Talento y Clima Laboral",1,0
